Name,Random Forest MSE,Random Forest MAE,Random Forest Trend Accuracy,ARIMA MSE,ARIMA MAE,ARIMA Trend Accuracy,RLTR Total Return,RLTR Annualized Return,RLTR Maximum Drawdown,RLTR Sharpe Ratio
IXUS and VXUS,0.02777901224925362,0.14198454038747388,0.5256410256410257,0.02519216077223974,0.13649142197639805,0.35772357723577236,0.04976565628008611,0.0505094351630766,-0.003201774396292323,1.9002316590522124
ANGL and FALN,0.0077479907576126945,0.05784399859879152,0.5470085470085471,0.014884539274686014,0.10359157152335788,0.45121951219512196,0.00369352112557908,0.0037474857773984738,-0.009714131447543295,0.2146250845519191
EMB and VWOB,0.02621011209507129,0.12247972979799929,0.5897435897435898,0.010867128146495458,0.07975766937723762,0.34552845528455284,0.015079055999870805,0.015300632772648148,-0.007947639794164907,0.8093727581968458
BNDW and IUSB,0.002834851613387938,0.037022337497968474,0.5299145299145299,0.005597534361785173,0.049044191147748245,0.4105691056910569,-0.0010117141614499614,-0.0010264607514453017,-0.019429776070541194,-0.03379093980473257
FIXD and IUSB,0.02146753385200298,0.12556835526998383,0.5598290598290598,0.009949744940937035,0.07535039583930817,0.44715447154471544,0.04682231713726792,0.0475211176525594,-0.005168511921781582,2.307261422449103
BNDX and MBB,0.0025281878362978017,0.036287815302858295,0.5512820512820513,0.00392442317506059,0.04134413939962343,0.483739837398374,-0.013266626927230685,-0.01345879078449641,-0.07161985053074926,-0.21301117681203746
GNMA and MBB,0.02580599429064568,0.12496102789194055,0.6709401709401709,0.027537500347373844,0.13214448381574437,0.34146341463414637,0.06399893322601202,0.06496193471895761,-0.006697043606950448,3.0422921334263253
MBB and VMBS,0.09626023316924626,0.2888427415380903,0.5042735042735043,0.011313513752321555,0.08253677702465101,0.4268292682926829,0.014254880197493103,0.014464260163750131,-0.004569499886731276,1.161238682366622
BSJO and BSJQ,0.007540303415112496,0.06124962266032253,0.5726495726495726,0.0072314469173639356,0.06267974365839545,0.4186991869918699,0.010679668210760607,0.010836254209396712,-0.017135163958890365,0.38850984107915904
CATH and VONE,0.0653155760220232,0.19351907359563272,0.5726495726495726,0.017922335453313617,0.08887202240476266,0.3699186991869919,0.003928778691100643,0.00398618742368817,-0.01565159597909782,0.22106362188689246
ESGD and SCZ,0.0020521904270506958,0.033380643214451305,0.5341880341880342,0.0038124791059957687,0.03969694035143645,0.5,-0.010484052236473751,-0.010636128695832636,-0.05601097122708232,-0.2096989994117742
FNX and USVM,0.004966194567417095,0.05662810527497029,0.4230769230769231,0.00874905866028134,0.07424278810555685,0.45121951219512196,0.034762159905294965,0.035277947522652564,-0.03635114910367343,0.8819226749511672
LMBS and SHV,0.023778178289071753,0.08090360164211888,0.49572649572649574,0.03523712619115796,0.13533252834477486,0.6300813008130082,0.003370286395463662,0.00341952034519144,-0.009866133265529098,0.21447619177063298
FTXO and QABA,0.004682072958684829,0.042578621530834714,0.5683760683760684,0.013445782273071983,0.0728690214300605,0.524390243902439,0.08697808860344369,0.08830095301067398,-0.09491367856001687,0.8274179633755212
KBWR and QABA,0.005176590274451636,0.05454507521278505,0.5512820512820513,0.0065001680195615206,0.05889994104795148,0.43089430894308944,0.14047698586122892,0.1426652964091606,-0.03354940016946828,1.9899698454733785
IGSB and VCSH,0.011993375499731939,0.07995464813400924,0.5726495726495726,0.021234468245019747,0.11275180149415052,0.35772357723577236,0.012634975519987934,0.012820411745137372,-0.002191317536946902,2.0427590797347395
ONEQ and QQEW,0.01238955891385374,0.07821906946815788,0.5128205128205128,0.009280714453680314,0.0708045564375853,0.43089430894308944,-0.0334300095836878,-0.033909170479047845,-0.07433822924904943,-0.537221788340604
SMH and SOXX,0.005673987048390785,0.05465341334473007,0.5170940170940171,0.011317734360323161,0.07456822838838967,0.47560975609756095,0.02827819181472102,0.02869644377930891,-0.047863843499300174,0.6052097652463095
USIG and VTC,0.007090517340827108,0.0629222269847569,0.6581196581196581,0.012499482063773684,0.07996878629811985,0.2967479674796748,0.011797134523837682,0.011970201700225003,-0.006163335660256286,1.038520669794499
