Name,LSTMED Test Loss,LSTMED Train Trend Accuracy,LSTMED Test Trend Accuracy,Random Forest MSE,Random Forest MAE,XGBoost MSE,XGBoost MAE,Random Forest Trend Accuracy,XGBoost Trend Accuracy,Prophet MSE,Prophet MAE
IXUS and VXUS,0.038337890058755875,0.4780821917808219,0.4722222222222222,0.010243055024341847,0.05942347477945964,0.016278584852619224,0.07207719222050962,0.6453488372093024,0.6569767441860465,0.059354896751128226,0.15286684827807467
ANGL and FALN,0.024797655642032623,0.436986301369863,0.5222222222222223,0.0006314603769171163,0.019655763991722867,0.0007583694993659678,0.021954807127003706,0.5348837209302325,0.5174418604651163,0.04511293560499666,0.19541166801584103
EMB and VWOB,0.003186166053637862,0.436986301369863,0.4166666666666667,0.000974079332774406,0.024623177464069994,0.0011147156166318615,0.02658901233220579,0.6976744186046512,0.6627906976744186,0.023652795650075095,0.12283251954385062
BNDW and IUSB,0.06092701852321625,0.4589041095890411,0.5,0.0010831975432032924,0.025312540373967983,0.0013283321418489425,0.028074033993815514,0.5697674418604651,0.5290697674418605,0.5648063840250807,0.7237461581993561
FIXD and IUSB,0.08248700201511383,0.426027397260274,0.39444444444444443,0.0011246963802828583,0.025350636935294525,0.0012112511318589834,0.02689355116667887,0.6511627906976745,0.6046511627906976,0.6669303917231088,0.7097259896204359
BNDX and MBB,0.0263941939920187,0.5068493150684932,0.48333333333333334,0.0025760578245179527,0.039988498941005916,0.0032150892856911057,0.044289617777268274,0.4941860465116279,0.5348837209302325,5.613385320107367,1.9490147805219211
GNMA and MBB,0.08954045176506042,0.4945205479452055,0.4777777777777778,0.00254492894755244,0.03851116388759556,0.0033053279942625207,0.041875310723347416,0.622093023255814,0.6162790697674418,0.23998278653734056,0.3993295700864897
MBB and VMBS,0.037622272968292236,0.4794520547945205,0.42777777777777776,0.0009598634509201128,0.023913630067066715,0.0011712079789231436,0.026028446103251474,0.6046511627906976,0.5697674418604651,0.008696889560083387,0.07690683471400767
BSJO and BSJQ,0.03432859852910042,0.4328767123287671,0.5333333333333333,0.0012640212412088408,0.028275978194136957,0.001430468878892004,0.029772852008154112,0.6511627906976745,0.6162790697674418,0.009969206349019735,0.08502631867470012
CATH and VONE,0.02444315515458584,0.42054794520547945,0.4444444444444444,0.0004423529380953464,0.013107416961374447,0.0009147385805535688,0.016827634702029894,0.5988372093023255,0.5813953488372093,11.200507270839566,3.248030698041454
ESGD and SCZ,0.021089915186166763,0.4849315068493151,0.5111111111111111,0.003933631604242849,0.04840754050890955,0.005794595462843184,0.05697461855889308,0.37209302325581395,0.4069767441860465,2.029543804141612,1.216121615613763
FNX and USVM,0.038328997790813446,0.0,0.0,0.0023651877814367655,0.03897222363499189,0.002778571894428873,0.04225171403050013,0.47093023255813954,0.46511627906976744,1.2733807400453796,0.9482667078036274
LMBS and SHV,0.00689029973000288,0.4410958904109589,0.5111111111111111,0.0026777959278085762,0.031217835968547526,0.0029128277109090757,0.03359211969825725,0.627906976744186,0.6162790697674418,0.02566806037579209,0.14403042846122643
FTXO and QABA,0.11123649030923843,0.4821917808219178,0.5388888888888889,0.022655109781371335,0.10298228366912969,0.026611567682488367,0.11404002785996849,0.45930232558139533,0.5058139534883721,29.276005652064434,4.889174794975383
KBWR and QABA,0.028168024495244026,0.0,0.0,0.004010679568925447,0.04744289855814256,0.004391472001568693,0.05014555102899968,0.5813953488372093,0.5755813953488372,0.6634434015455897,0.6886604265319776
IGSB and VCSH,0.003037781920284033,0.41506849315068495,0.3611111111111111,0.0014317025615936388,0.028468787914165575,0.001717244657754007,0.031065584715881975,0.627906976744186,0.627906976744186,0.0026572188001623026,0.04341708457123253
ONEQ and QQEW,0.05781920999288559,0.4465753424657534,0.49444444444444446,0.022953258592039328,0.09201163010356957,0.02379808368841347,0.09452122177337233,0.47093023255813954,0.4476744186046512,23.372259081178406,4.135033379507023
SMH and SOXX,0.01989932544529438,0.4986301369863014,0.4388888888888889,0.008797701510549108,0.06837956197449052,0.015710761016826835,0.08640978202801558,0.5697674418604651,0.5348837209302325,19.656244932231868,4.129298389728672
USIG and VTC,0.013972965069115162,0.4191780821917808,0.4111111111111111,0.003624371400685524,0.04281835238394731,0.004351909311273752,0.04753840963490295,0.6976744186046512,0.6569767441860465,0.03566184468481034,0.16448211875493393
